regime,arc,n_samples,n_bezier,method,time_s,metric_name,metric,failed
full_day,127->471,3222,20,bezier_pgd,0.004914381017442793,mse,0.002292235621655386,False
full_day,127->471,3222,20,bezier_ipopt,,mse,,True
full_day,127->471,3222,20,bezier_nm,57.35851653601276,mse,0.2250470602594695,False
full_day,128->357,3222,20,bezier_pgd,0.006955588993150741,mse,0.0623781543853149,False
full_day,128->357,3222,20,bezier_ipopt,18.130526790977456,mse,4.442870820313258e-05,False
full_day,128->357,3222,20,bezier_nm,54.17120592598803,mse,0.3576338898671447,False
full_day,128->465,3222,20,bezier_pgd,0.00500930700218305,mse,0.04959519412551195,False
full_day,128->465,3222,20,bezier_ipopt,,mse,,True
full_day,128->465,3222,20,bezier_nm,56.03967048303457,mse,0.31980337329987424,False
full_day,129->160,3222,20,bezier_pgd,0.0052475539851002395,mse,0.0072973492422165505,False
full_day,129->160,3222,20,bezier_ipopt,32.06536121899262,mse,0.0001853600065822331,False
full_day,129->160,3222,20,bezier_nm,57.27023308299249,mse,0.2618686209377987,False
full_day,129->511,3222,20,bezier_pgd,0.006040501000825316,mse,0.010743827498759288,False
full_day,129->511,3222,20,bezier_ipopt,21.68606458499562,mse,0.0001529664814650762,False
full_day,129->511,3222,20,bezier_nm,55.88154219003627,mse,0.2600045187630813,False
full_day,13->530,3222,20,bezier_pgd,0.005186285998206586,mse,0.008276651539312369,False
full_day,13->530,3222,20,bezier_ipopt,,mse,,True
full_day,13->530,3222,20,bezier_nm,56.18904215202201,mse,0.25918593872684076,False
full_day,13->532,3222,20,bezier_pgd,0.004984072991646826,mse,0.0008298425513794779,False
full_day,13->532,3222,20,bezier_ipopt,22.55456735601183,mse,0.00034373887053744086,False
full_day,13->532,3222,20,bezier_nm,60.0760922319605,mse,0.14739624136744436,False
full_day,130->450,3222,20,bezier_pgd,0.004643762018531561,mse,0.016226779231902022,False
full_day,130->450,3222,20,bezier_ipopt,,mse,,True
full_day,130->450,3222,20,bezier_nm,56.454419616027735,mse,0.2868587540324684,False
full_day,130->65,3222,20,bezier_pgd,0.003600672003813088,mse,0.00017441313406783666,False
full_day,130->65,3222,20,bezier_ipopt,,mse,,True
full_day,130->65,3222,20,bezier_nm,92.50334790500347,mse,0.0016269313430455424,False
full_day,131->221,3222,20,bezier_pgd,0.005270314984954894,mse,0.0005803919947423766,False
full_day,131->221,3222,20,bezier_ipopt,24.057666387001518,mse,0.00021407900125056795,False
full_day,131->221,3222,20,bezier_nm,59.81752321397653,mse,0.17556621144835502,False
full_day,131->457,3222,20,bezier_pgd,0.004907207970973104,mse,0.004678577260557435,False
full_day,131->457,3222,20,bezier_ipopt,21.493088828981854,mse,0.0001746513164740166,False
full_day,131->457,3222,20,bezier_nm,56.27697475103196,mse,0.24961240407666876,False
full_day,132->133,3222,20,bezier_pgd,0.005655763030517846,mse,0.01808864225331766,False
full_day,132->133,3222,20,bezier_ipopt,,mse,,True
full_day,132->133,3222,20,bezier_nm,56.220198136987165,mse,0.28829622416621875,False
full_day,132->493,3222,20,bezier_pgd,0.004587124974932522,mse,0.022940880294197843,False
full_day,132->493,3222,20,bezier_ipopt,,mse,,True
full_day,132->493,3222,20,bezier_nm,55.67971385602141,mse,0.310562610650506,False
full_day,133->132,3222,20,bezier_pgd,0.00472781399730593,mse,0.022940880294197843,False
full_day,133->132,3222,20,bezier_ipopt,,mse,,True
full_day,133->132,3222,20,bezier_nm,56.729296965000685,mse,0.310525242842739,False
full_day,133->479,3222,20,bezier_pgd,0.005393130995798856,mse,0.005788024769585278,False
full_day,133->479,3222,20,bezier_ipopt,,mse,,True
full_day,133->479,3222,20,bezier_nm,60.19446545798564,mse,0.23781633117583767,False
full_day,134->135,3222,20,bezier_pgd,0.007610652013681829,mse,0.0285932800792155,False
full_day,134->135,3222,20,bezier_ipopt,,mse,,True
full_day,134->135,3222,20,bezier_nm,59.72120541194454,mse,0.3111980830096581,False
full_day,134->320,3222,20,bezier_pgd,0.004927141009829938,mse,0.012553247094272003,False
full_day,134->320,3222,20,bezier_ipopt,,mse,,True
full_day,134->320,3222,20,bezier_nm,56.60729432699736,mse,0.2910936747308497,False
full_day,135->134,3222,20,bezier_pgd,0.007705430965870619,mse,0.010646485353949853,False
full_day,135->134,3222,20,bezier_ipopt,,mse,,True
full_day,135->134,3222,20,bezier_nm,57.6266175340279,mse,0.29112028232793746,False
full_day,135->479,3222,20,bezier_pgd,0.00466907600639388,mse,0.04948538169037194,False
full_day,135->479,3222,20,bezier_ipopt,,mse,,True
full_day,135->479,3222,20,bezier_nm,57.76243483700091,mse,0.31432313017259617,False
full_day,136->444,3222,20,bezier_pgd,0.005100167007185519,mse,0.012794325645382076,False
full_day,136->444,3222,20,bezier_ipopt,27.865317826042883,mse,0.0002640404564570314,False
full_day,136->444,3222,20,bezier_nm,57.61979721899843,mse,0.25749903369828264,False
full_day,136->517,3222,20,bezier_pgd,0.005850952002219856,mse,0.01379589173695845,False
full_day,136->517,3222,20,bezier_ipopt,26.930127431056462,mse,0.00016296774366448668,False
full_day,136->517,3222,20,bezier_nm,55.13117357296869,mse,0.2730440573420404,False
full_day,137->118,3222,20,bezier_pgd,0.005536415963433683,mse,0.0005537088570269788,False
full_day,137->118,3222,20,bezier_ipopt,22.99431870301487,mse,0.0001899317709908127,False
full_day,137->118,3222,20,bezier_nm,61.71310764999362,mse,0.09779063350109492,False
full_day,137->466,3222,20,bezier_pgd,0.003346024954225868,mse,0.00018914996729893006,False
full_day,137->466,3222,20,bezier_ipopt,,mse,,True
full_day,137->466,3222,20,bezier_nm,88.62826784799108,mse,0.001409011178048243,False
full_day,138->422,3222,20,bezier_pgd,0.009659586998168379,mse,0.004527973353308214,False
full_day,138->422,3222,20,bezier_ipopt,22.146336453035474,mse,0.0001306278818680194,False
full_day,138->422,3222,20,bezier_nm,57.36483955098083,mse,0.25228366293728544,False
full_day,138->467,3222,20,bezier_pgd,0.007714906998444349,mse,0.007772728230944402,False
full_day,138->467,3222,20,bezier_ipopt,,mse,,True
full_day,138->467,3222,20,bezier_nm,58.16119456704473,mse,0.2539163400835454,False
full_day,139->374,3222,20,bezier_pgd,0.005619573988951743,mse,0.03531259885148395,False
full_day,139->374,3222,20,bezier_ipopt,20.815720131038688,mse,0.00013550969746022333,False
full_day,139->374,3222,20,bezier_nm,57.60936051502358,mse,0.3195416431488845,False
full_day,139->468,3222,20,bezier_pgd,0.006185277015902102,mse,0.0153238822310037,False
full_day,139->468,3222,20,bezier_ipopt,19.098923267039936,mse,0.00023267105383084882,False
full_day,139->468,3222,20,bezier_nm,52.8555886260001,mse,0.2896482114542328,False
full_day,14->392,3222,20,bezier_pgd,0.003794663993176073,mse,1.3007416605354544e-05,False
full_day,14->392,3222,20,bezier_ipopt,13.3361045109923,mse,2.7339707724000514e-06,False
full_day,14->392,3222,20,bezier_nm,82.83797586604487,mse,0.0005134365540690292,False
full_day,14->76,3222,20,bezier_pgd,0.0032418890041299164,mse,7.769712389578952e-06,False
full_day,14->76,3222,20,bezier_ipopt,19.019192244973965,mse,2.122385748180827e-06,False
full_day,14->76,3222,20,bezier_nm,91.8692052050028,mse,0.00011958673409605527,False
full_day,140->152,3222,20,bezier_pgd,0.004629690025467426,mse,0.0013508547161793633,False
full_day,140->152,3222,20,bezier_ipopt,,mse,,True
full_day,140->152,3222,20,bezier_nm,63.06517687899759,mse,0.18576175033992282,False
full_day,140->469,3222,20,bezier_pgd,0.006110801012255251,mse,0.018545268672612567,False
full_day,140->469,3222,20,bezier_ipopt,,mse,,True
full_day,140->469,3222,20,bezier_nm,56.60097847698489,mse,0.2885552290519222,False
full_day,141->399,3222,20,bezier_pgd,0.004683658946305513,mse,0.004645114495056675,False
full_day,141->399,3222,20,bezier_ipopt,25.82432194298599,mse,0.00023356012380915548,False
full_day,141->399,3222,20,bezier_nm,58.35020743799396,mse,0.19689414474596792,False
full_day,141->510,3222,20,bezier_pgd,0.0035337030421942472,mse,0.0002367376824318452,False
full_day,141->510,3222,20,bezier_ipopt,28.869590222951956,mse,0.00015349545637801372,False
full_day,141->510,3222,20,bezier_nm,91.68694337503985,mse,0.001235923951970177,False
full_day,142->470,3222,20,bezier_pgd,0.005963015020824969,mse,0.009353320162489962,False
full_day,142->470,3222,20,bezier_ipopt,,mse,,True
