arc,n_samples,method,time_s,metric_name,metric,failed,regime,n_bezier
120->462,542,johnson_mle,0.08739842398790643,nll,-2090.493987333714,False,rush_hour,10
120->490,542,bezier_mle,0.09709702403051779,nll,-1748.6590461366427,False,rush_hour,10
120->490,542,gen_beta_mle,0.0805103670572862,nll,-1926.2581757007738,False,rush_hour,10
120->490,542,johnson_mle,0.02586357301333919,nll,-1982.6096319954036,False,rush_hour,10
121->299,542,bezier_mle,0.0779148240108043,nll,-2024.4991813220145,False,rush_hour,10
121->299,542,gen_beta_mle,0.05276180797955021,nll,-2095.3164264823245,False,rush_hour,10
121->299,542,johnson_mle,0.02143925504060462,nll,-2114.3587470128277,False,rush_hour,10
121->423,542,bezier_mle,0.006744427024386823,nll,-2015.0289984833037,False,rush_hour,10
121->423,542,gen_beta_mle,0.03613510698778555,nll,-2017.3689082874207,False,rush_hour,10
121->423,542,johnson_mle,0.05872363701928407,nll,-2019.1089000785294,False,rush_hour,10
122->348,542,bezier_mle,0.009814772987738252,nll,-2324.4376410051796,False,rush_hour,10
122->348,542,gen_beta_mle,0.03999975899932906,nll,-2310.41720764783,False,rush_hour,10
122->348,542,johnson_mle,0.020754944009240717,nll,-2312.949282513974,False,rush_hour,10
122->415,542,bezier_mle,0.07198268902720883,nll,-2171.621826627681,False,rush_hour,10
122->415,542,gen_beta_mle,0.03781227098079398,nll,-2001.740526645463,False,rush_hour,10
122->415,542,johnson_mle,0.01727578102145344,nll,-2171.2269934348524,False,rush_hour,10
123->463,542,bezier_mle,0.0406029790174216,nll,-1881.8238273473658,False,rush_hour,10
123->463,542,gen_beta_mle,0.03390252002282068,nll,-1894.9097562651805,False,rush_hour,10
123->463,542,johnson_mle,0.035454900993499905,nll,-11613.74613489618,False,rush_hour,10
123->486,542,bezier_mle,0.05925451096845791,nll,-2099.574601651425,False,rush_hour,10
123->486,542,gen_beta_mle,0.025584554998204112,nll,-2094.170552072397,False,rush_hour,10
123->486,542,johnson_mle,0.0775973959825933,nll,-2086.776215818818,False,rush_hour,10
124->125,542,bezier_mle,0.0765240240143612,nll,-2122.6967083889003,False,rush_hour,10
124->125,542,gen_beta_mle,0.08347633801167831,nll,-2400.445551210234,False,rush_hour,10
