n,rep,m,status,MSE,sup,l2,time_ms
8,5,1280,ok,7.201249055751751e-05,0.028872194057251277,0.012906148024304944,22.461528002168052
8,6,1280,attempt,,,,
8,6,1280,ok,7.737985029560978e-05,0.027192966081422076,0.01295984919998511,18.445073001203127
8,7,1280,attempt,,,,
8,7,1280,ok,5.027488383584174e-05,0.03562096221342781,0.015057318778250886,21.010761003708467
8,8,1280,attempt,,,,
8,8,1280,ok,0.0001155671716838919,0.02158112257029765,0.010220715310801992,20.138104009674862
8,9,1280,attempt,,,,
8,9,1280,ok,0.00011841723170038312,0.024962665513106386,0.01255067628704174,18.47832600469701
10,0,2000,attempt,,,,
10,0,2000,ok,8.152883980738369e-05,0.028115428132892473,0.012524301117028583,33.64465499180369
10,1,2000,attempt,,,,
10,1,2000,ok,5.016609383577843e-05,0.03358912205828363,0.01706802730252888,32.49271398817655
10,2,2000,attempt,,,,
10,2,2000,ok,5.332011864307841e-05,0.022366455266959795,0.0129301178701903,35.72555599384941
10,3,2000,attempt,,,,
10,3,2000,ok,6.219638332438951e-05,0.025518812585700656,0.010663751056238069,34.5184260077076
10,4,2000,attempt,,,,
10,4,2000,ok,6.321643779883275e-05,0.02254823515700133,0.010672571168744564,34.39332799462136
10,5,2000,attempt,,,,
10,5,2000,ok,6.478610396585277e-05,0.032991434222281846,0.01480456067214135,34.99907300283667
10,6,2000,attempt,,,,
10,6,2000,ok,5.4574510266303586e-05,0.019543280720718093,0.010047041179708128,35.00852499564644
10,7,2000,attempt,,,,
10,7,2000,ok,5.1644018747233436e-05,0.028542782507750164,0.011705145531222785,36.89291900082026
10,8,2000,attempt,,,,
10,8,2000,ok,6.129266697334203e-05,0.030211494672148564,0.01195640409862762,35.77435300394427
10,9,2000,attempt,,,,
10,9,2000,ok,7.234381747406448e-05,0.03847046092314327,0.021625400252371547,34.93303099821787
13,0,3380,attempt,,,,
13,0,3380,ok,2.4364746512877382e-05,0.0317497395119386,0.014832582648431321,85.79838500008918
13,1,3380,attempt,,,,
